Fecha,Hora,Fecha valor,Producto,ISIN,Descripción,Tipo,Variación,,Saldo,,ID Orden
04-10-2023,10:20,03-10-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,266.56,EUR,282.97,
04-10-2023,07:37,03-10-2023,,,Ingreso Cambio de Divisa,,EUR,7.45,EUR,16.41,
04-10-2023,07:37,03-10-2023,,,Retirada Cambio de Divisa,1.0493,USD,-7.82,USD,0.00,
03-10-2023,18:49,03-10-2023,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 1.009,42 EUR",,,,EUR,8.96,
03-10-2023,18:49,03-10-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,1009.42,EUR,1018.38,
03-10-2023,15:30,03-10-2023,COCA-COLA,US1912161007,Ingreso Cambio de Divisa,1.0444,USD,276.30,USD,7.82,6267c66a-4997-470a-a138-1d1cc8734907
03-10-2023,15:30,03-10-2023,COCA-COLA,US1912161007,Retirada Cambio de Divisa,,EUR,-264.56,EUR,8.96,6267c66a-4997-470a-a138-1d1cc8734907
03-10-2023,15:30,03-10-2023,COCA-COLA,US1912161007,Costes de transacción y/o externos de DEGIRO,,EUR,-2.00,EUR,273.52,6267c66a-4997-470a-a138-1d1cc8734907
03-10-2023,15:30,03-10-2023,COCA-COLA,US1912161007,"Compra 5 Coca-Cola@55,26 USD (US1912161007)",,USD,-276.30,USD,-268.48,6267c66a-4997-470a-a138-1d1cc8734907
03-10-2023,12:58,03-10-2023,CAIXABANK SA,ES0140609019,Spanish Transaction Tax,,EUR,-0.53,EUR,275.52,e65767cc-86cd-4c54-b621-7ea7e019b9a7
03-10-2023,12:58,03-10-2023,CAIXABANK SA,ES0140609019,Costes de transacción y/o externos de DEGIRO,,EUR,-2.00,EUR,276.05,e65767cc-86cd-4c54-b621-7ea7e019b9a7
03-10-2023,12:58,03-10-2023,CAIXABANK SA,ES0140609019,"Compra 70 CaixaBank SA@3,783 EUR (ES0140609019)",,EUR,-264.81,EUR,278.05,e65767cc-86cd-4c54-b621-7ea7e019b9a7
03-10-2023,12:58,03-10-2023,BANCO SANTANDER,ES0113900J37,Spanish Transaction Tax,,EUR,-0.35,EUR,542.86,e7d4fca1-063b-4b53-aec6-6bb6002c7270
03-10-2023,12:58,03-10-2023,BANCO SANTANDER,ES0113900J37,Spanish Transaction Tax,,EUR,-0.19,EUR,543.21,e7d4fca1-063b-4b53-aec6-6bb6002c7270
03-10-2023,12:58,03-10-2023,BANCO SANTANDER,ES0113900J37,Costes de transacción y/o externos de DEGIRO,,EUR,-2.00,EUR,543.40,e7d4fca1-063b-4b53-aec6-6bb6002c7270
03-10-2023,12:58,03-10-2023,BANCO SANTANDER,ES0113900J37,"Compra 48 Banco Santander@3,6085 EUR (ES0113900J37)",,EUR,-173.21,EUR,545.40,e7d4fca1-063b-4b53-aec6-6bb6002c7270
03-10-2023,12:58,03-10-2023,BANCO SANTANDER,ES0113900J37,"Compra 27 Banco Santander@3,6085 EUR (ES0113900J37)",,EUR,-97.43,EUR,718.61,e7d4fca1-063b-4b53-aec6-6bb6002c7270
03-10-2023,12:57,03-10-2023,BANCO BILBAO VIZCAYA ARGENTARIA,ES0113211835,Spanish Transaction Tax,,EUR,-0.74,EUR,816.04,8761a797-9924-46fe-8508-7677775fbc7c
03-10-2023,12:57,03-10-2023,BANCO BILBAO VIZCAYA ARGENTARIA,ES0113211835,Spanish Transaction Tax,,EUR,-0.20,EUR,816.78,8761a797-9924-46fe-8508-7677775fbc7c
03-10-2023,12:57,03-10-2023,BANCO BILBAO VIZCAYA ARGENTARIA,ES0113211835,Costes de transacción y/o externos de DEGIRO,,EUR,-2.00,EUR,816.98,8761a797-9924-46fe-8508-7677775fbc7c
03-10-2023,12:57,03-10-2023,BANCO BILBAO VIZCAYA ARGENTARIA,ES0113211835,"Compra 47 Banco Bilbao Vizcaya Argentaria@7,82 EUR (ES0113211835)",,EUR,-367.54,EUR,818.98,8761a797-9924-46fe-8508-7677775fbc7c
03-10-2023,12:57,03-10-2023,BANCO BILBAO VIZCAYA ARGENTARIA,ES0113211835,"Compra 13 Banco Bilbao Vizcaya Argentaria@7,82 EUR (ES0113211835)",,EUR,-101.66,EUR,1186.52,8761a797-9924-46fe-8508-7677775fbc7c
03-10-2023,08:30,02-10-2023,COCA-COLA,US1912161007,Dividendo,,USD,9.20,USD,7.82,
03-10-2023,08:30,02-10-2023,COCA-COLA,US1912161007,Retención del dividendo,,USD,-1.38,USD,-1.38,
03-10-2023,07:35,02-10-2023,,,Ingreso Cambio de Divisa,,EUR,3.24,EUR,1288.18,
03-10-2023,07:35,02-10-2023,,,Retirada Cambio de Divisa,1.0504,USD,-3.40,USD,0.00,
02-10-2023,06:55,29-09-2023,KRAFT HEINZ CO,US5007541064,Dividendo,,USD,4.00,USD,3.40,
02-10-2023,06:55,29-09-2023,KRAFT HEINZ CO,US5007541064,Retención del dividendo,,USD,-0.60,USD,-0.60,
01-10-2023,20:21,30-09-2023,,,Flatex Interest Income,,EUR,0.00,EUR,1284.94,
29-09-2023,18:51,29-09-2023,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 5,82 EUR",,,,EUR,1284.94,
29-09-2023,18:51,29-09-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-5.82,EUR,1279.12,
29-09-2023,08:07,28-09-2023,,,Ingreso Cambio de Divisa,,EUR,5.82,EUR,1284.94,
29-09-2023,08:07,28-09-2023,,,Retirada Cambio de Divisa,1.0592,USD,-6.16,USD,0.00,
