Fecha,Hora,Fecha valor,Producto,ISIN,Descripción,Tipo,Variación,,Saldo,,ID Orden
09-10-2024,15:53,09-10-2024,VICI PROPERTIES INC,US9256521090,Retirada Cambio de Divisa,,EUR,-29.62,EUR,409.66,75b28187-0787-4ea7-b518-d5fa41c6eacd
09-10-2024,15:53,09-10-2024,VICI PROPERTIES INC,US9256521090,Ingreso Cambio de Divisa,1.0926,USD,32.36,USD,-453.12,75b28187-0787-4ea7-b518-d5fa41c6eacd
09-10-2024,15:53,09-10-2024,VICI PROPERTIES INC,US9256521090,Retirada Cambio de Divisa,,EUR,-29.62,EUR,439.28,75b28187-0787-4ea7-b518-d5fa41c6eacd
09-10-2024,15:53,09-10-2024,VICI PROPERTIES INC,US9256521090,Costes de transacción y/o externos de DEGIRO,,EUR,-2.00,EUR,468.90,75b28187-0787-4ea7-b518-d5fa41c6eacd
09-10-2024,15:53,09-10-2024,VICI PROPERTIES INC,US9256521090,"Compra 9 VICI Properties Inc@32,37 USD (US9256521090)",,USD,-291.33,USD,-485.48,75b28187-0787-4ea7-b518-d5fa41c6eacd
09-10-2024,15:53,09-10-2024,VICI PROPERTIES INC,US9256521090,"Compra 2 VICI Properties Inc@32,36 USD (US9256521090)",,USD,-64.72,USD,-194.15,75b28187-0787-4ea7-b518-d5fa41c6eacd
09-10-2024,15:53,09-10-2024,VICI PROPERTIES INC,US9256521090,"Compra 1 VICI Properties Inc@32,36 USD (US9256521090)",,USD,-32.36,USD,-129.43,75b28187-0787-4ea7-b518-d5fa41c6eacd
09-10-2024,15:53,09-10-2024,VICI PROPERTIES INC,US9256521090,"Compra 1 VICI Properties Inc@32,36 USD (US9256521090)",,USD,-32.36,USD,-97.07,75b28187-0787-4ea7-b518-d5fa41c6eacd
09-10-2024,15:53,09-10-2024,VICI PROPERTIES INC,US9256521090,"Compra 1 VICI Properties Inc@32,36 USD (US9256521090)",,USD,-32.36,USD,-64.71,75b28187-0787-4ea7-b518-d5fa41c6eacd
09-10-2024,15:53,09-10-2024,VICI PROPERTIES INC,US9256521090,"Compra 1 VICI Properties Inc@32,36 USD (US9256521090)",,USD,-32.36,USD,-32.35,75b28187-0787-4ea7-b518-d5fa41c6eacd
09-10-2024,15:47,09-10-2024,ALTRIA GROUP INC.,US02209S1033,Ingreso Cambio de Divisa,1.0928,USD,548.85,USD,0.01,2ac6e331-be0e-4b92-83d2-76444bd373cb
09-10-2024,15:47,09-10-2024,ALTRIA GROUP INC.,US02209S1033,Retirada Cambio de Divisa,,EUR,-502.26,EUR,470.90,2ac6e331-be0e-4b92-83d2-76444bd373cb
09-10-2024,15:47,09-10-2024,ALTRIA GROUP INC.,US02209S1033,Costes de transacción y/o externos de DEGIRO,,EUR,-2.00,EUR,973.16,2ac6e331-be0e-4b92-83d2-76444bd373cb
09-10-2024,15:47,09-10-2024,ALTRIA GROUP INC.,US02209S1033,"Compra 11 Altria Group Inc.@49,895 USD (US02209S1033)",,USD,-548.85,USD,-548.84,2ac6e331-be0e-4b92-
,,,,,,,,,,,83d2-76444bd373cb
09-10-2024,15:30,09-10-2024,ALPHABET INC CLASS C,US02079K1079,Retirada Cambio de Divisa,1.0980,USD,-993.00,USD,0.00,1b8646b8-b13c-4b63-a2f2-3d4395214923
