Fecha,Hora,Fecha valor,Producto,ISIN,Descripción,Tipo,Variación,,Saldo,,ID Orden
08-01-2026,15:30,08-01-2026,VICI PROPERTIES INC,US9256521090,"Venta 15 VICI Properties Inc@27,5 USD (US9256521090)",,USD,"412,50",USD,"412,50",f9d7bd0a-a010-442e-8075-6446acfe51c7
08-01-2026,14:00,02-01-2026,,,Flatex Interest Income,,EUR,"0,00",EUR,"1631,55",
07-01-2026,08:40,07-01-2026,,,flatex Deposit,,EUR,"400,00",EUR,"1631,55",
05-01-2026,19:21,05-01-2026,,,Degiro Cash Sweep Transfer,,EUR,"-627,14",EUR,"1231,55",
05-01-2026,19:21,05-01-2026,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 627,14 EUR",,,,EUR,"1858,69",
05-01-2026,19:04,05-01-2026,,,Degiro Cash Sweep Transfer,,EUR,"-431,23",EUR,"1231,55",
05-01-2026,19:04,05-01-2026,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 431,23 EUR",,,,EUR,"1662,78",
05-01-2026,16:56,05-01-2026,UBER TECHNOLOGIES INC,US90353T1007,Retirada Cambio de Divisa,"1,1730",USD,"-738,00",USD,"0,00",e8a42c22-aa71-4a51-84de-a729290f9bb7
05-01-2026,16:56,05-01-2026,UBER TECHNOLOGIES INC,US90353T1007,Ingreso Cambio de Divisa,,EUR,"629,14",EUR,"1231,55",e8a42c22-aa71-4a51-84de-a729290f9bb7
05-01-2026,16:56,05-01-2026,UBER TECHNOLOGIES INC,US90353T1007,Costes de transacción y/o externos de DEGIRO,,EUR,"-2,00",EUR,"602,41",e8a42c22-aa71-4a51-84de-a729290f9bb7
05-01-2026,16:56,05-01-2026,UBER TECHNOLOGIES INC,US90353T1007,Venta 9 Uber Technologies Inc@82 USD (US90353T1007),,USD,"738,00",USD,"738,00",e8a42c22-aa71-4a51-84de-a729290f9bb7
05-01-2026,15:30,05-01-2026,SALESFORCE INC,US79466L3024,Retirada Cambio de Divisa,"1,1708",USD,"-507,24",USD,"0,00",d1d0df81-b740-48c5-b666-bb7db27d03c2
05-01-2026,15:30,05-01-2026,SALESFORCE INC,US79466L3024,Ingreso Cambio de Divisa,,EUR,"433,23",EUR,"604,41",d1d0df81-b740-48c5-b666-bb7db27d03c2
05-01-2026,15:30,05-01-2026,SALESFORCE INC,US79466L3024,Costes de transacción y/o externos de DEGIRO,,EUR,"-2,00",EUR,"171,18",d1d0df81-b740-48c5-b666-bb7db27d03c2
05-01-2026,15:30,05-01-2026,SALESFORCE INC,US79466L3024,"Venta 2 Salesforce Inc@253,62 USD (US79466L3024)",,USD,"507,24",USD,"507,24",d1d0df81-b740-48c5-b666-bb7db27d03c2
05-01-2026,05:02,05-01-2026,,,Degiro Cash Sweep Transfer,,EUR,"-9,56",EUR,"173,18",
05-01-2026,05:02,05-01-2026,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 9,56 EUR",,,,EUR,"182,74",
03-01-2026,07:53,02-01-2026,,,Ingreso Cambio de Divisa,,EUR,"9,56",EUR,"173,18",
03-01-2026,07:53,02-01-2026,,,Retirada Cambio de Divisa,"1,1749",USD,"-11,23",USD,"0,00",
02-01-2026,08:11,31-12-2025,VANGUARD S&P 500 UCITS ETF USD DIS,IE00B3XXRP09,Dividendo,,USD,"3,59",USD,"11,23",
02-01-2026,07:47,31-12-2025,VANGUARD FTSE ALL-WORLD UCITS ETF,IE00B3RBWM25,Dividendo,,USD,"7,64",USD,"7,64",
30-12-2025,10:34,30-12-2025,,,Degiro Cash Sweep Transfer,,EUR,"-40,99",EUR,"163,62",
30-12-2025,10:34,30-12-2025,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 40,99 EUR",,,,EUR,"204,61",
30-12-2025,08:01,30-12-2025,,,Degiro Cash Sweep Transfer,,EUR,"-0,05",EUR,"163,62",
30-12-2025,08:01,30-12-2025,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 0,05 EUR",,,,EUR,"163,67",
30-12-2025,07:20,29-12-2025,BANCO DE SABADELL SA,ES0113860A34,Retención del dividendo,,EUR,"-9,62",EUR,"163,62",
30-12-2025,07:20,29-12-2025,BANCO DE SABADELL SA,ES0113860A34,Dividendo,,EUR,"50,61",EUR,"173,24",
30-12-2025,06:42,29-12-2025,,,Ingreso Cambio de Divisa,,EUR,"0,05",EUR,"122,63",
30-12-2025,06:42,29-12-2025,,,Retirada Cambio de Divisa,"1,1802",USD,"-0,06",USD,"0,00",
29-12-2025,08:41,26-12-2025,NVIDIA CORP,US67066G1040,Retención del dividendo,,USD,"-0,01",USD,"0,06",
29-12-2025,08:39,26-12-2025,NVIDIA CORP,US67066G1040,Dividendo,,USD,"0,07",USD,"0,07",
19-12-2025,08:32,19-12-2025,,,Degiro Cash Sweep Transfer,,EUR,"-55,03",EUR,"122,58",
19-12-2025,08:32,19-12-2025,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 55,03 EUR",,,,EUR,"177,61",
19-12-2025,06:51,18-12-2025,TELEFONICA SA,ES0178430E18,Dividendo,,EUR,"61,50",EUR,"122,58",
19-12-2025,06:51,18-12-2025,TELEFONICA SA,ES0178430E18,Retención del dividendo,,EUR,"-11,69",EUR,"61,08",
19-12-2025,06:48,18-12-2025,SHELL PLC,GB00BP6MXD84,Dividendo,,EUR,"5,22",EUR,"72,77",
17-12-2025,09:00,17-12-2025,,,Degiro Cash Sweep Transfer,,EUR,"-14,47",EUR,"67,55",
17-12-2025,09:00,17-12-2025,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 14,47 EUR",,,,EUR,"82,02",
17-12-2025,06:49,16-12-2025,,,Ingreso Cambio de Divisa,,EUR,"14,47",EUR,"67,55",
17-12-2025,06:49,16-12-2025,,,Retirada Cambio de Divisa,"1,1776",USD,"-17,04",USD,"0,00",
16-12-2025,07:58,15-12-2025,ALPHABET INC CLASS C,US02079K1079,Retención del dividendo,,USD,"-0,25",USD,"17,04",
16-12-2025,07:58,15-12-2025,ALPHABET INC CLASS C,US02079K1079,Dividendo,,USD,"1,68",USD,"17,29",
16-12-2025,07:09,15-12-2025,COCA-COLA CO,US1912161007,Dividendo,,USD,"18,36",USD,"15,61",
