Fecha,Hora,Fecha valor,Producto,ISIN,Descripción,Tipo,Variación,,Saldo,,ID Orden
13-10-2025,07:19,10-10-2025,ALTRIA GROUP INC,US02209S1033,Retención del dividendo,,USD,"-1,75",USD,"-1,75",
13-10-2025,04:22,13-10-2025,,,Degiro Cash Sweep Transfer,,EUR,"-5,54",EUR,"95,11",
13-10-2025,04:22,13-10-2025,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 5,54 EUR",,,,EUR,"100,65",
11-10-2025,06:32,10-10-2025,,,Ingreso Cambio de Divisa,,EUR,"5,54",EUR,"95,11",
11-10-2025,06:32,10-10-2025,,,Retirada Cambio de Divisa,"1,1649",USD,"-6,45",USD,"0,00",
10-10-2025,07:25,09-10-2025,SALESFORCE INC,US79466L3024,Dividendo,,USD,"0,83",USD,"6,45",
10-10-2025,07:25,09-10-2025,SALESFORCE INC,US79466L3024,Retención del dividendo,,USD,"-0,12",USD,"5,62",
10-10-2025,06:59,09-10-2025,VICI PROPERTIES INC,US9256521090,Dividendo,,USD,"6,75",USD,"5,74",
10-10-2025,06:59,09-10-2025,VICI PROPERTIES INC,US9256521090,Retención del dividendo,,USD,"-1,01",USD,"-1,01",
06-10-2025,06:00,06-10-2025,,,Degiro Cash Sweep Transfer,,EUR,"-4,45",EUR,"89,57",
06-10-2025,06:00,06-10-2025,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 4,45 EUR",,,,EUR,"94,02",
05-10-2025,05:21,30-09-2025,,,Flatex Interest Income,,EUR,"0,00",EUR,"89,57",
04-10-2025,06:39,03-10-2025,,,Ingreso Cambio de Divisa,,EUR,"4,45",EUR,"89,57",
04-10-2025,06:39,03-10-2025,,,Retirada Cambio de Divisa,"1,1772",USD,"-5,24",USD,"0,00",
03-10-2025,14:12,03-10-2025,,,Degiro Cash Sweep Transfer,,EUR,"-15,56",EUR,"85,12",
03-10-2025,14:12,03-10-2025,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 15,56 EUR",,,,EUR,"100,68",
03-10-2025,09:28,30-05-2025,STARBUCKS CORP,US8552441094,Dividendo,,USD,"6,10",USD,"5,24",
03-10-2025,09:28,30-05-2025,STARBUCKS CORP,US8552441094,Retención del dividendo,,USD,"-0,92",USD,"-0,86",
03-10-2025,07:43,02-10-2025,NVIDIA CORP,US67066G1040,Retención del dividendo,,USD,"-0,01",USD,"0,06",
03-10-2025,07:43,02-10-2025,,,Ingreso Cambio de Divisa,,EUR,"15,56",EUR,"85,12",
03-10-2025,07:43,02-10-2025,,,Retirada Cambio de Divisa,"1,1744",USD,"-18,27",USD,"0,07",
03-10-2025,07:42,02-10-2025,NVIDIA CORP,US67066G1040,Dividendo,,USD,"0,07",USD,"18,34",
02-10-2025,22:01,30-05-2025,STARBUCKS CORP,US8552441094,Retención del dividendo,,USD,"0,92",USD,"18,27",
02-10-2025,22:01,30-05-2025,STARBUCKS CORP,US8552441094,Dividendo,,USD,"-6,10",USD,"17,35",
02-10-2025,08:35,01-10-2025,COCA-COLA CO,US1912161007,Dividendo,,USD,"18,36",USD,"23,45",
02-10-2025,08:35,01-10-2025,COCA-COLA CO,US1912161007,Retención del dividendo,,USD,"-2,75",USD,"5,09",
02-10-2025,07:43,01-10-2025,VANGUARD S&P 500 UCITS ETF USD DIS,IE00B3XXRP09,Dividendo,,USD,"3,61",USD,"7,84",
02-10-2025,07:34,01-10-2025,VANGUARD FTSE ALL-WORLD UCITS ETF,IE00B3RBWM25,Dividendo,,USD,"4,23",USD,"4,23",
23-09-2025,09:01,23-09-2025,,,Degiro Cash Sweep Transfer,,EUR,"-5,22",EUR,"69,56",
23-09-2025,09:01,23-09-2025,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 5,22 EUR",,,,EUR,"74,78",
23-09-2025,07:55,22-09-2025,SHELL PLC,GB00BP6MXD84,Dividendo,,EUR,"5,22",EUR,"69,56",
18-09-2025,11:30,18-09-2025,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 544,2 EUR",,,,EUR,"64,34",
